id,name,category,region,description,description_es,address,city,phone,email,website,notes,notes_es
1,Kentucky Department of Corrections — Division of Reentry Services,State Agency,Statewide,"Oversees reentry planning for all state prisoners. Operates 13 Reentry Service Centers (RSCs) statewide. Provides reentry coordinators by region to help connect individuals with housing, employment, and community supports before and after release.","Supervisa la planificación de reinserción para todos los presos estatales. Opera 13 Centros de Servicios de Reinserción en todo el estado. Proporciona coordinadores de reinserción por región para ayudar a conectar a las personas con vivienda, empleo y apoyo comunitario antes y después de la liberación.",275 East Main Street,Frankfort,(502) 782-2347,,https://corrections.ky.gov/Reentry,,
2,Kentucky DOC — Second Chance Portal,State Agency,Statewide,"State-run online resource portal for individuals preparing for or navigating reentry. Covers housing, employment, education, benefits, and community resources all in one place.","Portal de recursos en línea del estado para personas que se preparan para la reinserción o la están navegando. Cubre vivienda, empleo, educación, beneficios y recursos comunitarios en un solo lugar.",,,,,https://secondchance.ky.gov,,
3,KY HELP Statewide Substance Use Hotline,State Agency,Statewide,"Statewide call center operated by Operation UNITE. Connects callers with treatment, housing, peer support, and recovery resources. Available 7 days a week.","Centro de llamadas estatal operado por Operation UNITE. Conecta a los llamantes con tratamiento, vivienda, apoyo entre pares y recursos de recuperación. Disponible los 7 días de la semana.",,,1-833-859-4357,,https://findhelpnow.org/ky,1-833-KY-HELP7,
4,Southern Kentucky Reentry Council,State Agency,Bowling Green / Warren County,"Regional reentry council serving Logan, Simpson, Butler, Warren, Edmonson, Hart, Barren, Allen, Metcalfe, and Monroe counties. Connects justice-involved individuals with community resources.","Consejo regional de reinserción que atiende los condados de Logan, Simpson, Butler, Warren, Edmonson, Hart, Barren, Allen, Metcalfe y Monroe. Conecta a personas involucradas con el sistema de justicia con recursos comunitarios.","PMB #394, 1945 Scottsville Road, B2",Bowling Green,(270) 784-9509,,https://southernkyreentry.org,,
5,FIVCO Reentry Council,State Agency,Ashland / Boyd County,"Regional reentry council for Boyd, Carter, Elliott, Greenup, and Lawrence counties in northeastern Kentucky.","Consejo regional de reinserción para los condados de Boyd, Carter, Elliott, Greenup y Lawrence en el noreste de Kentucky.",,,(606) 920-2024,fivco@kentuckyreentry.org,,,
10,CTS-Russell (Community Transitional Services),Housing,Louisville / Jefferson County,"Kentucky DOC-contracted Reentry Service Center. Provides transitional housing, programming, and supervision support for individuals released to community custody.","Centro de Servicios de Reinserción contratado por el DOC de Kentucky. Proporciona vivienda transitoria, programación y apoyo de supervisión para personas liberadas bajo custodia comunitaria.",1407 West Jefferson Street,Louisville,(502) 855-6500,,https://c-t-susa.com,,
11,The Burns M. Brady Center,Housing,Louisville / Jefferson County,Kentucky DOC-contracted Reentry Service Center in downtown Louisville offering transitional housing and comprehensive reentry programming for men and women.,Centro de Servicios de Reinserción contratado por el DOC de Kentucky en el centro de Louisville que ofrece vivienda transitoria y programación integral de reinserción para hombres y mujeres.,1000 West Market Street,Louisville,(502) 259-0080,,,,
12,Dismas Charities — Diersen (Louisville),Housing,Louisville / Jefferson County,"Residential reentry program for men and women released from federal and state prison. Provides housing, employment assistance, and community reintegration support.","Programa residencial de reinserción para hombres y mujeres liberados de prisiones federales y estatales. Proporciona vivienda, asistencia para el empleo y apoyo para la reintegración comunitaria.",1218 West Oak Street,Louisville,(502) 636-1572,,https://dismas.com,,
13,Dismas Charities — Portland (Louisville),Housing,Louisville / Jefferson County,Residential reentry halfway house for people released from incarceration. Provides structured housing and programming.,Casa de transición residencial para personas liberadas del encarcelamiento. Proporciona vivienda estructurada y programación.,1501 Lytle Street,Louisville,(502) 584-3733,,https://dismas.com,,
14,Volunteers of America — Halfway Back Program,Housing,Louisville / Jefferson County,"Long-term residential program for paroled adult men with substance use issues. Provides housing, substance abuse treatment, employment assistance, and life skills programming.","Programa residencial a largo plazo para hombres adultos en libertad condicional con problemas de uso de sustancias. Proporciona vivienda, tratamiento de abuso de sustancias, asistencia para el empleo y programación de habilidades para la vida.",1436 South Shelby Street,Louisville,(502) 636-0742,,https://voamid.org,,
15,Volunteers of America — Freedom House,Housing,Louisville / Jefferson County,"Long-term residential treatment and transitional housing for women with children, including those with substance use issues. Comprehensive recovery and family stabilization services.","Tratamiento residencial a largo plazo y vivienda transitoria para mujeres con hijos, incluidas aquellas con problemas de uso de sustancias. Servicios integrales de recuperación y estabilización familiar.",,Louisville,(502) 634-0082,,https://voamid.org,,
16,Re:Center Ministries,Housing,Louisville / Jefferson County,"Long-term recovery and transitional housing program for adult men. Provides shelter, recovery services, and reintegration support in partnership with local churches.","Programa de recuperación y vivienda transitoria a largo plazo para hombres adultos. Proporciona refugio, servicios de recuperación y apoyo para la reintegración en asociación con iglesias locales.",733 East Jefferson Street,Louisville,(502) 584-6543,,https://recenterministries.org,,
17,Exodus Scholar Homes,Housing,Louisville / Jefferson County,Transitional and recovery housing for individuals leaving incarceration in the Louisville area.,Vivienda transitoria y de recuperación para personas que salen del encarcelamiento en el área de Louisville.,2617 West Broadway Street,Louisville,(502) 356-5912,,,,
18,Coalition for the Homeless — Single Point of Entry,Housing,Louisville / Jefferson County,"Single point of entry for homeless services in Louisville Metro. Provides emergency shelter placement and housing navigation for adults, including those recently released from incarceration.","Punto único de entrada para servicios para personas sin hogar en Louisville Metro. Proporciona colocación en refugios de emergencia y orientación en vivienda para adultos, incluidos los recién liberados del encarcelamiento.",,Louisville,(502) 637-2337,,,,
20,Chrysalis House,Housing,Lexington / Fayette County,"Kentucky DOC-contracted Reentry Service Center. Oldest and largest substance abuse treatment program for women in Kentucky. Accepts women with young children. Provides residential treatment, GED assistance, job placement, and domestic violence counseling.","Centro de Servicios de Reinserción contratado por el DOC de Kentucky. El programa de tratamiento de abuso de sustancias más antiguo y grande para mujeres en Kentucky. Acepta mujeres con hijos pequeños. Proporciona tratamiento residencial, asistencia para el GED, colocación laboral y asesoramiento en violencia doméstica.",1589 Hill Rise Drive,Lexington,(859) 977-2504,,https://chrysalishouse.org,,
21,Hope Center — George Privett (Men),Housing,Lexington / Fayette County,"Kentucky DOC-contracted men's residential reentry program. Provides housing, substance use recovery services, and life skills programming.","Programa residencial de reinserción para hombres contratado por el DOC de Kentucky. Proporciona vivienda, servicios de recuperación por uso de sustancias y programación de habilidades para la vida.",250 West Loudon Avenue,Lexington,(859) 225-4673,,,,
22,Hope Center — Ball-Quantrell Jones (Women),Housing,Lexington / Fayette County,"Kentucky DOC-contracted women's residential reentry program. Provides housing, recovery services, and community reintegration programming.","Programa residencial de reinserción para mujeres contratado por el DOC de Kentucky. Proporciona vivienda, servicios de recuperación y programación de reintegración comunitaria.",1524 Versailles Road,Lexington,(859) 252-2002,,,,
23,Dismas Charities — Lexington,Housing,Lexington / Fayette County,Residential reentry halfway house for men and women released from incarceration in Central Kentucky.,Casa de transición residencial para hombres y mujeres liberados del encarcelamiento en el centro de Kentucky.,909 Georgetown Street,Lexington,(859) 231-8448,,https://dismas.com,,
24,Shepherds House,Housing,Lexington / Fayette County,"Recovery-focused transitional housing for men. Emphasizes accountability, peer support, and long-term sobriety. Suitable for individuals on probation, parole, or court compliance.","Vivienda transitoria enfocada en la recuperación para hombres. Hace hincapié en la responsabilidad, el apoyo entre pares y la sobriedad a largo plazo. Adecuado para personas en libertad condicional, vigilada o bajo supervisión judicial.","365 Waller Avenue, Suite 230",Lexington,(859) 252-1939,,https://shepherdshouseinc.com,Admissions: (859) 447-4020,
25,Lexington Rescue Mission — Re-Entry Program,Housing,Lexington / Fayette County,"Offers reentry training and support for incarcerated men and women inside the Fayette County Detention Center, Woodford County Detention Center, and Madison County Detention Center.","Ofrece capacitación y apoyo de reinserción para hombres y mujeres encarcelados dentro del Centro de Detención del Condado de Fayette, el Centro de Detención del Condado de Woodford y el Centro de Detención del Condado de Madison.",,Lexington,,,https://lexingtonrescue.org,,
30,Welcome House of Northern Kentucky,Housing,Northern Kentucky,"Comprehensive housing and homelessness provider in Northern Kentucky. Serves women, children, families, and adults. Offers emergency shelter, housing navigation, case management, and pathways to long-term housing for those leaving incarceration.","Proveedor integral de vivienda y servicios para personas sin hogar en el norte de Kentucky. Atiende a mujeres, niños, familias y adultos. Ofrece refugio de emergencia, orientación en vivienda, gestión de casos y vías hacia vivienda a largo plazo para quienes salen del encarcelamiento.",205 West Pike Street,Covington,(859) 431-8717,,https://welcomehouseky.org,,
